"マジコスマツバ","マジコスハルカ","マジコストウコ"
"マジコスマツバ","リーフ(ネオチャンピオン)","マジコストウコ"
"マジコスアセロラ","マジコスハルカ","マジコストウコ"
"マジコスアセロラ","リーフ(ネオチャンピオン)","マジコストウコ
"マジコスマツバ","アイリス(アナザー)","N(anni)"
"マジコスマツバ","オリーヴ","N(anni)"
"マジコスクリス","セレナ(ネオチャンピオン)","マジコスフラダリ"
"マジコスクリス","セレナ(ネオチャンピオン)","ミナキ"
"カルム(ネオチャンピオン)","ユウリ(アナザー)","ルリナ"
"ソニア","マジコスレッド(アナザー)","マリィ"
"マジコスシロナ(アナザー2)","マジコスレッド(アナザー)","サトシ"
"グリーン(ネオチャンピオン)","マジコスレッド","サトシ"
"マジコスアセロラ","セキ","ソニア(スペシャル)"
"マジコスアセロラ","マジコスコトネ","セキ"
"マジコスシロナ(アナザー2)","ホップ(ネオチャンピオン)","カルネ(スペシャル)"
"マジコスシロナ(アナザー2)","ホップ(ネオチャンピオン)","サイトウ"
"ビート(ネオチャンピオン)","マチエール","オリーヴ"
"ビート(ネオチャンピオン)","フウロ(anni)","マジコスヒビキ"
"マジコスマツバ","ユウリ(アナザー2)","ラン(23)"
"マジコスシロナ(アナザー2)","マジコススイレン","マジコスダイゴ"
"ビート(ネオチャンピオン)","マジコススイレン","マジコスダイゴ"
"サナ(スペシャル)","マジコスヒカリ","マジコスルザミーネ"
"ソニア","ノボリ(スペシャル)","クダリ(スペシャル)"
"ビート(ネオチャンピオン)","ノボリ(スペシャル)","クダリ(スペシャル)"
"マジコスアセロラ","ノボリ(スペシャル)","クダリ(スペシャル)"
"ノボリ","クダリ","マジコスカルネ"
"マジコスアセロラ","トウコ(スペシャル)","マジコスカルネ"
"ソニア","トウコ(スペシャル)","マジコスカルネ"
"オニオン(22)","マジコスシロナ(アナザー)","マジコスコルニ"
"マジコスグリーン","カイ","レッド(ネオチャンピオン)"
"マジコスシロナ(アナザー2)","カイ","レッド(ネオチャンピオン)"
"マジコスマツリカ","カイ","レッド(ネオチャンピオン)"
"マジコスユウキ","コウキ","マジコスセレナ"
"マジコスヒカリ","コウキ","マジコスセレナ"
"ビート(ネオチャンピオン)","ダンデ(アナザー)","アイリス(アナザー)"
"ソニア","ダンデ(アナザー)","アイリス(アナザー)"
"マジコスアセロラ","ダンデ(アナザー)","アイリス(アナザー)"
"カルム(ネオチャンピオン)","ヒガナ(スペシャル)","マリィ(ネオチャンピオン)"
"ソニア","マリィ(22)","ユウリ"
"マジコスアセロラ","マリィ(22)","ユウリ"
"ビート(ネオチャンピオン)","マリィマリィ(22)","ユウリ"
"サナ(スペシャル)","フウ(23)","マジコスルザミーネ"
"マジコスマツリカ","カルネ","マジコスミツル"

